"Notes"	"Disease"	"Disease Code"	"State"	"State Code"	"Gender"	"Gender Code"	STD Cases	Population	Rate
"(20), Kentucky (21), Louisiana (22), Maine (23), Maryland (24), Massachusetts (25), Michigan (26), Minnesota (27), Mississippi"
"(28), Missouri (29), Montana (30), Nebraska (31), Nevada (32), New Hampshire (33), New Jersey (34), New Mexico (35), New York"
"(36), North Carolina (37), North Dakota (38), Ohio (39), Oklahoma (40), Oregon (41), Pennsylvania (42), Rhode Island (44), South"
"Carolina (45), South Dakota (46), Tennessee (47), Texas (48), Utah (49), Vermont (50), Virginia (51), Washington (53), West"
"Virginia (54), Wisconsin (55), Wyoming (56), Puerto Rico (72)"
"Year: 2002"
"Group By: Disease, State, Gender"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/std-std-race-age.html for more information."
"---"
"Query Date: Aug 12, 2014 1:06:15 PM"
"---"
"Suggested Citation: US Department of Health and Human Services, Centers for Disease Control and Prevention, National Center for"
"HIV, STD and TB Prevention (NCHSTP), Division of STD/HIV Prevention, Sexually Transmitted Disease Morbidity for selected STDs by"
"age, race/ethnicity and gender 1996-2011, CDC WONDER Online Database. Accessed at http://wonder.cdc.gov/std-std-race-age.html on"
"Aug 12, 2014 1:06:15 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero STD Cases are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed STD Cases are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. The phrase 'Not Reported' is shown when the specific disease was not reported for the given location and year. The phrase"
"'Not Applicable' is shown when the denominator population is not on record, or when the rate cannot be calculated due to lack of"
"disease incidence count or lack of denominator population."
"2. Prior to 2003, some reporting entities reported summary cases through paper forms. Reporting entities differed in their"
"ability to reconcile differences in total cases derived from summary hardcopy monthly, quarterly, and annual reports. Thus,"
"there may be discrepancies when comparing the total number of cases reported through different data sources. This application"
"includes data for age, race/ethnicity and gender reported on form CDC 73.2638 reports for years 1996-2002. More information:"
"http://wonder.cdc.gov/wonder/help/std-std-race-age.html#Reporting Issues."
"3. Chlamydia was not reported for all of New York state in years 1996-1999. More information:"
"http://wonder.cdc.gov/wonder/help/std-std-race-age.html#Chlamydia."
"4. Please see help file for specifics about reporting irregularities and population data. More information:"
"http://wonder.cdc.gov/wonder/help/std-std-race-age.html#About Rates."
"5. The denominator population used to compute the overall U.S. rate varies from year to year and from disease to disease, due to"
"changes in reporting status for specific diseases and locations. More information:"
"http://wonder.cdc.gov/wonder/help/std-std-race-age.html#Reporting Issues."
"6. The denominator populations for the United States shown are the bridged-race postcensal July 1st population estimates for the"
"years 2000-2009, and the bridged-race intracensal population estimates for years 1990-1999, as published by NCHS. The rates"
"shown here may differ somewhat from previous publications, due to differences in the denominator population. More information:"
"http://wonder.cdc.gov/wonder/help/std-std-race-age.html#Population."
"7. Impact of reported cases with missing demographic data on STD rates: when reviewing STD rates by demographic subgroup, e.g.,"
"by age group, gender, or race/ethnicity, note the number and percentage of reported STD cases that have missing data for the"
"subgroup of interest. Rates by age group, gender, or race/ethnicity are calculated using only cases with known information in"
"the numerator divided by the comparable U.S. Census population by year and subgroup. When information is unknown, the cases do"
"not contribute to the numerator and therefore subgroup-specific rates are underestimates of the actual subgroup rate."
"8. Counts and rates shown for the ""All"" age groups category represent all ages and persons of unknown age. More information:"
"http://wonder.cdc.gov/wonder/help/std-std-race-age.html#About Rates."
